City,Marital_Total_Pop,Never_Married,Married,Divorced,Widowed,Pct_Married,Pct_Divorced,Pct_Never_Married,Pct_Widowed,Ever_Married_Pop,Pct_Divorced_Ever_Married
Mardin,614337,229052,353567,9013,22705,0.5755261363062945,0.014671100715079833,0.3728442206801804,0.036958542298445314,385285,0.023393072660498074
Muğla,903849,225907,553500,72646,51796,0.6123810503745648,0.08037404477960368,0.24993887253291203,0.05730603231291952,677942,0.10715665941924235
Muş,270718,98798,158564,2727,10629,0.5857165020427161,0.010073212715814982,0.3649480270983089,0.03926225814316004,171920,0.0158620288506282
Nevşehir,257756,65735,162394,12388,17239,0.6300299508061888,0.0480609568739428,0.2550280109871351,0.06688108133273328,192021,0.06451377713895876
Niğde,293954,79341,183570,12312,18731,0.6244854637120094,0.04188410431564122,0.2699095776890262,0.06372085428332325,214613,0.057368379361921226
Ordu,639344,145658,418383,24724,50579,0.654394191546335,0.03867088765985135,0.22782414474836707,0.07911077604544658,493686,0.050080415486766894
Rize,288547,81887,174035,9503,23122,0.6031426422731825,0.03293397609401588,0.28379085556252537,0.08013252607027625,206660,0.04598374141101326
Sakarya,891911,242813,552533,41447,55118,0.619493424792384,0.04646988320583556,0.2722390462725541,0.061797645729226344,649098,0.06385322401239875
Samsun,1132529,291062,711736,51438,78293,0.6284483664435966,0.04541870450999489,0.25700180745923507,0.06913112158717348,841467,0.061128956928792215
Siirt,233304,91464,130975,2377,8488,0.5613920035661626,0.010188423687549292,0.39203785618763504,0.03638171655865309,141840,0.016758319232938523
Sinop,192774,43750,122371,8878,17775,0.6347899613018353,0.04605392843433243,0.22694969238590265,0.0922064178779296,149024,0.05957429675756925
Sivas,519339,146616,317242,18195,37286,0.6108572627898156,0.035034919387914254,0.28231270903976013,0.07179510878251008,372723,0.04881641326132275
Tekirdağ,949724,236759,608473,51122,53370,0.6406840303077526,0.05382827010794715,0.24929242601008292,0.05619527357421735,712965,0.07170337954878571
Tokat,505888,125349,321764,18117,40658,0.6360380163198178,0.03581227465367828,0.2477801410588905,0.08036956796761338,380539,0.047608786484433924
Trabzon,674278,190737,415896,21091,46554,0.6168019718869665,0.03127938328107991,0.2828759057836679,0.06904273904828573,483541,0.04361781110598688
